Risk factor,Linked disease,Age group,Year,Sex,Attributable deaths,Attributable YLL,Attributable YLD,Attributable DALY
Air pollution,COPD,15–24,2015,Females,0,0,0,0
Air pollution,COPD,15–24,2015,Males,0.1,5,0,5
Air pollution,COPD,15–24,2015,Persons,0.1,5,0,5
Air pollution,COPD,15–24,2018,Females,0,0,0,0
Air pollution,COPD,15–24,2018,Males,0,0,0,0
Air pollution,COPD,15–24,2018,Persons,0,0,0,0
Air pollution,COPD,25–34,2015,Females,0,0.1,0,0.1
Air pollution,COPD,25–34,2015,Males,0.2,8.5,0,8.5
Air pollution,COPD,25–34,2015,Persons,0.2,8.6,0,8.6
Air pollution,COPD,25–34,2018,Females,0.2,12.2,0,12.2
Air pollution,COPD,25–34,2018,Males,0.2,13.8,0,13.8
Air pollution,COPD,25–34,2018,Persons,0.5,26,0,26
Air pollution,COPD,35–44,2015,Females,0.5,22.5,19.4,41.9
Air pollution,COPD,35–44,2015,Males,0.8,36.4,48.5,84.8
Air pollution,COPD,35–44,2015,Persons,1.3,58.8,67.9,126.7
Air pollution,COPD,35–44,2018,Females,0.2,9.7,20,29.7
Air pollution,COPD,35–44,2018,Males,0.5,23.6,44.8,68.4
Air pollution,COPD,35–44,2018,Persons,0.7,33.3,64.8,98.1
Air pollution,COPD,45–54,2015,Females,4,143.3,158.7,302
Air pollution,COPD,45–54,2015,Males,5.1,185,80.2,265.1
Air pollution,COPD,45–54,2015,Persons,9.1,328.3,238.9,567.1
Air pollution,COPD,45–54,2018,Females,3.2,117.8,155.5,273.3
Air pollution,COPD,45–54,2018,Males,4.5,166.8,78.5,245.3
Air pollution,COPD,45–54,2018,Persons,7.7,284.7,233.9,518.6
Air pollution,COPD,55–64,2015,Females,14.8,409.7,490.8,900.4
Air pollution,COPD,55–64,2015,Males,18,495.7,298.8,794.5
Air pollution,COPD,55–64,2015,Persons,32.8,905.4,789.6,1695
Air pollution,COPD,55–64,2018,Females,17.1,470.1,485.5,955.7
Air pollution,COPD,55–64,2018,Males,20.6,572.1,304.9,877.1
Air pollution,COPD,55–64,2018,Persons,37.7,1042.3,790.4,1832.7
Air pollution,COPD,65–84,2015,Females,122,1729.8,1805.8,3535.6
Air pollution,COPD,65–84,2015,Males,149,2102.3,1340.9,3443.2
Air pollution,COPD,65–84,2015,Persons,270.9,3832.1,3146.7,6978.8
Air pollution,COPD,65–84,2018,Females,121.1,1733.4,1911.9,3645.3
Air pollution,COPD,65–84,2018,Males,145.1,2071.6,1448.7,3520.4
Air pollution,COPD,65–84,2018,Persons,266.2,3805,3360.7,7165.7
Air pollution,COPD,85+,2015,Females,95,508.9,815.1,1324
Air pollution,COPD,85+,2015,Males,92.6,518.6,322.6,841.2
Air pollution,COPD,85+,2015,Persons,187.6,1027.5,1137.7,2165.2
Air pollution,COPD,85+,2018,Females,86.1,451.7,841.3,1293
Air pollution,COPD,85+,2018,Males,87,478.7,352.4,831.2
Air pollution,COPD,85+,2018,Persons,173.1,930.4,1193.8,2124.2
Air pollution,COPD,Under 15,2015,Females,0,0,0,0
Air pollution,COPD,Under 15,2015,Males,0.1,8.6,0,8.6
Air pollution,COPD,Under 15,2015,Persons,0.1,8.6,0,8.6
Air pollution,COPD,Under 15,2018,Females,0.1,5.1,0,5.1
Air pollution,COPD,Under 15,2018,Males,0.1,4.6,0,4.6
Air pollution,COPD,Under 15,2018,Persons,0.1,9.7,0,9.7
Air pollution,Coronary heart disease,25–34,2015,Females,0.7,41.1,7.8,49
Air pollution,Coronary heart disease,25–34,2015,Males,4.6,261,14.6,275.6
Air pollution,Coronary heart disease,25–34,2015,Persons,5.4,302.1,22.5,324.6
Air pollution,Coronary heart disease,25–34,2018,Females,0.7,38.3,9,47.3
Air pollution,Coronary heart disease,25–34,2018,Males,3,171.1,14.1,185.3
Air pollution,Coronary heart disease,25–34,2018,Persons,3.7,209.4,23.2,232.6
Air pollution,Coronary heart disease,35–44,2015,Females,8.2,378.6,74.5,453.1
Air pollution,Coronary heart disease,35–44,2015,Males,37,1679,172.5,1851.5
Air pollution,Coronary heart disease,35–44,2015,Persons,45.2,2057.6,247.1,2304.6
Air pollution,Coronary heart disease,35–44,2018,Females,7.2,327.4,68.8,396.2
Air pollution,Coronary heart disease,35–44,2018,Males,28.7,1306.6,152.7,1459.4
Air pollution,Coronary heart disease,35–44,2018,Persons,35.8,1634,221.6,1855.6
Air pollution,Coronary heart disease,45–54,2015,Females,20.2,727.7,206,933.7
Air pollution,Coronary heart disease,45–54,2015,Males,97.5,3523.3,513.8,4037.1
Air pollution,Coronary heart disease,45–54,2015,Persons,117.7,4251,719.8,4970.8
Air pollution,Coronary heart disease,45–54,2018,Females,19.8,725.1,195.9,921
Air pollution,Coronary heart disease,45–54,2018,Males,84.3,3069.2,475.8,3545
Air pollution,Coronary heart disease,45–54,2018,Persons,104.1,3794.3,671.7,4466
Air pollution,Coronary heart disease,55–64,2015,Females,33.7,960,338.9,1298.9
Air pollution,Coronary heart disease,55–64,2015,Males,138.3,3977.5,838.8,4816.3
Air pollution,Coronary heart disease,55–64,2015,Persons,172,4937.5,1177.7,6115.2
Air pollution,Coronary heart disease,55–64,2018,Females,32.8,935.1,342.4,1277.6
Air pollution,Coronary heart disease,55–64,2018,Males,137.3,3956.1,830,4786
Air pollution,Coronary heart disease,55–64,2018,Persons,170.1,4891.2,1172.4,6063.6
Air pollution,Coronary heart disease,65–84,2015,Females,223.5,2897.5,973.3,3870.8
Air pollution,Coronary heart disease,65–84,2015,Males,425.6,6065.2,1695.1,7760.3
Air pollution,Coronary heart disease,65–84,2015,Persons,649.1,8962.7,2668.4,11631.1
Air pollution,Coronary heart disease,65–84,2018,Females,194.4,2539.2,967.8,3507
Air pollution,Coronary heart disease,65–84,2018,Males,396.2,5709,1742.2,7451.2
Air pollution,Coronary heart disease,65–84,2018,Persons,590.6,8248.2,2710,10958.2
Air pollution,Coronary heart disease,85+,2015,Females,302.6,1582.5,398.7,1981.2
Air pollution,Coronary heart disease,85+,2015,Males,229.2,1296.8,340.6,1637.4
Air pollution,Coronary heart disease,85+,2015,Persons,531.8,2879.3,739.3,3618.6
Air pollution,Coronary heart disease,85+,2018,Females,245.9,1258,384.1,1642
Air pollution,Coronary heart disease,85+,2018,Males,213.4,1193.6,347.5,1541.1
Air pollution,Coronary heart disease,85+,2018,Persons,459.3,2451.5,731.6,3183.1
Air pollution,Lower respiratory infections,15–24,2015,Females,0.1,7.6,7.9,15.5
Air pollution,Lower respiratory infections,15–24,2015,Males,0.2,12.6,7.2,19.8
Air pollution,Lower respiratory infections,15–24,2015,Persons,0.3,20.3,15,35.3
Air pollution,Lower respiratory infections,15–24,2018,Females,0.1,4.6,7.9,12.6
Air pollution,Lower respiratory infections,15–24,2018,Males,0.2,11.7,7.3,19
Air pollution,Lower respiratory infections,15–24,2018,Persons,0.3,16.3,15.3,31.6
Air pollution,Lower respiratory infections,25–34,2015,Females,0.3,15.7,9.6,25.2
Air pollution,Lower respiratory infections,25–34,2015,Males,0.6,31.8,8.9,40.7
Air pollution,Lower respiratory infections,25–34,2015,Persons,0.8,47.5,18.5,65.9
Air pollution,Lower respiratory infections,25–34,2018,Females,0.2,9,9.9,19
Air pollution,Lower respiratory infections,25–34,2018,Males,0.5,29.7,9.3,39
Air pollution,Lower respiratory infections,25–34,2018,Persons,0.7,38.7,19.3,58
Air pollution,Lower respiratory infections,35–44,2015,Females,0.8,36.2,10.9,47.1
Air pollution,Lower respiratory infections,35–44,2015,Males,0.8,35.4,9.7,45.1
Air pollution,Lower respiratory infections,35–44,2015,Persons,1.6,71.6,20.7,92.2
Air pollution,Lower respiratory infections,35–44,2018,Females,0.8,35.2,11.6,46.8
Air pollution,Lower respiratory infections,35–44,2018,Males,0.6,27.9,10.4,38.3
Air pollution,Lower respiratory infections,35–44,2018,Persons,1.4,63.1,22,85.1
Air pollution,Lower respiratory infections,45–54,2015,Females,1.6,59.2,11.7,70.9
Air pollution,Lower respiratory infections,45–54,2015,Males,3.3,124.4,10.5,134.9
Air pollution,Lower respiratory infections,45–54,2015,Persons,4.9,183.7,22.2,205.8
Air pollution,Lower respiratory infections,45–54,2018,Females,1.6,58.7,12.1,70.8
Air pollution,Lower respiratory infections,45–54,2018,Males,2.2,82.2,10.7,92.9
Air pollution,Lower respiratory infections,45–54,2018,Persons,3.8,140.9,22.8,163.7
Air pollution,Lower respiratory infections,55–64,2015,Females,2.7,75.9,13,88.9
Air pollution,Lower respiratory infections,55–64,2015,Males,4.2,114.4,12,126.4
Air pollution,Lower respiratory infections,55–64,2015,Persons,6.9,190.3,25,215.3
Air pollution,Lower respiratory infections,55–64,2018,Females,3.2,87,13.5,100.4
Air pollution,Lower respiratory infections,55–64,2018,Males,4.1,114,12.4,126.4
Air pollution,Lower respiratory infections,55–64,2018,Persons,7.3,201,25.9,226.9
Air pollution,Lower respiratory infections,65–84,2015,Females,23.6,290.3,24.5,314.8
Air pollution,Lower respiratory infections,65–84,2015,Males,29.5,392.3,23.7,416.1
Air pollution,Lower respiratory infections,65–84,2015,Persons,53,682.6,48.3,730.9
Air pollution,Lower respiratory infections,65–84,2018,Females,23,286.8,25.2,312
Air pollution,Lower respiratory infections,65–84,2018,Males,28.7,377.5,24.1,401.6
Air pollution,Lower respiratory infections,65–84,2018,Persons,51.7,664.3,49.2,713.6
Air pollution,Lower respiratory infections,85+,2015,Females,85.1,388.3,9.5,397.8
Air pollution,Lower respiratory infections,85+,2015,Males,47.4,237.8,7.8,245.6
Air pollution,Lower respiratory infections,85+,2015,Persons,132.5,626.1,17.2,643.4
Air pollution,Lower respiratory infections,85+,2018,Females,83.4,368.9,9.4,378.3
Air pollution,Lower respiratory infections,85+,2018,Males,56.6,274,8,282
Air pollution,Lower respiratory infections,85+,2018,Persons,140,642.9,17.4,660.3
Air pollution,Lower respiratory infections,Under 15,2015,Females,0.8,67.8,27.7,95.6
Air pollution,Lower respiratory infections,Under 15,2015,Males,1.1,92.5,28.4,120.9
Air pollution,Lower respiratory infections,Under 15,2015,Persons,1.9,160.3,56.1,216.5
Air pollution,Lower respiratory infections,Under 15,2018,Females,0.5,40.3,29.2,69.5
Air pollution,Lower respiratory infections,Under 15,2018,Males,0.9,71.8,29.7,101.5
Air pollution,Lower respiratory infections,Under 15,2018,Persons,1.3,112.1,58.9,171
Air pollution,Lung cancer,15–24,2015,Females,0,2.2,0,2.3
Air pollution,Lung cancer,15–24,2015,Males,0.1,4.5,0,4.5
Air pollution,Lung cancer,15–24,2015,Persons,0.1,6.7,0.1,6.8
Air pollution,Lung cancer,15–24,2018,Females,0,2.4,0,2.4
Air pollution,Lung cancer,15–24,2018,Males,0,2.2,0,2.2
Air pollution,Lung cancer,15–24,2018,Persons,0.1,4.5,0.1,4.6
Air pollution,Lung cancer,25–34,2015,Females,0.2,13.5,0.1,13.6
Air pollution,Lung cancer,25–34,2015,Males,0.2,9.5,0.1,9.6
Air pollution,Lung cancer,25–34,2015,Persons,0.4,23,0.2,23.2
Air pollution,Lung cancer,25–34,2018,Females,0.1,7.9,0.1,8.1
Air pollution,Lung cancer,25–34,2018,Males,0.2,12.4,0.1,12.6
Air pollution,Lung cancer,25–34,2018,Persons,0.4,20.4,0.3,20.7
Air pollution,Lung cancer,35–44,2015,Females,1.4,65.7,0.6,66.2
Air pollution,Lung cancer,35–44,2015,Males,2.1,93.2,0.6,93.8
Air pollution,Lung cancer,35–44,2015,Persons,3.5,158.8,1.1,160
Air pollution,Lung cancer,35–44,2018,Females,0.9,42.7,0.5,43.2
Air pollution,Lung cancer,35–44,2018,Males,1.2,53.6,0.5,54.1
Air pollution,Lung cancer,35–44,2018,Persons,2.1,96.3,1,97.3
Air pollution,Lung cancer,45–54,2015,Females,8.2,298.2,2.6,300.8
Air pollution,Lung cancer,45–54,2015,Males,8.7,314.7,2.6,317.3
Air pollution,Lung cancer,45–54,2015,Persons,16.9,612.9,5.2,618.1
Air pollution,Lung cancer,45–54,2018,Females,6.6,238.9,2.5,241.4
Air pollution,Lung cancer,45–54,2018,Males,8.2,297.8,2.3,300.1
Air pollution,Lung cancer,45–54,2018,Persons,14.7,536.7,4.8,541.5
Air pollution,Lung cancer,55–64,2015,Females,22.7,631,8.4,639.5
Air pollution,Lung cancer,55–64,2015,Males,28.9,799.4,9.4,808.8
Air pollution,Lung cancer,55–64,2015,Persons,51.6,1430.4,17.9,1448.3
Air pollution,Lung cancer,55–64,2018,Females,23,641.2,8.6,649.8
Air pollution,Lung cancer,55–64,2018,Males,29.2,804.2,9.6,813.8
Air pollution,Lung cancer,55–64,2018,Persons,52.2,1445.4,18.2,1463.7
Air pollution,Lung cancer,65–84,2015,Females,71.5,1107,27.7,1134.7
Air pollution,Lung cancer,65–84,2015,Males,111.7,1714.5,38.4,1752.9
Air pollution,Lung cancer,65–84,2015,Persons,183.2,2821.5,66.1,2887.6
Air pollution,Lung cancer,65–84,2018,Females,77.5,1195.5,31.2,1226.7
Air pollution,Lung cancer,65–84,2018,Males,113.3,1748.4,41.1,1789.5
Air pollution,Lung cancer,65–84,2018,Persons,190.8,2943.9,72.3,3016.2
Air pollution,Lung cancer,85+,2015,Females,19.9,116.5,7.9,124.4
Air pollution,Lung cancer,85+,2015,Males,26.2,158,11.2,169.2
Air pollution,Lung cancer,85+,2015,Persons,46.1,274.5,19.1,293.6
Air pollution,Lung cancer,85+,2018,Females,20.4,117.5,8.4,125.8
Air pollution,Lung cancer,85+,2018,Males,25,146.8,11.2,157.9
Air pollution,Lung cancer,85+,2018,Persons,45.4,264.3,19.5,283.8
Air pollution,Lung cancer,Under 15,2015,Females,0,0,0,0
Air pollution,Lung cancer,Under 15,2015,Males,0,0,0,0
Air pollution,Lung cancer,Under 15,2015,Persons,0,0,0,0
Air pollution,Lung cancer,Under 15,2018,Females,0,2.8,0,2.8
Air pollution,Lung cancer,Under 15,2018,Males,0,0,0,0
Air pollution,Lung cancer,Under 15,2018,Persons,0,2.8,0,2.8
Air pollution,Stroke,25–34,2015,Females,0.8,41.6,22.2,63.8
Air pollution,Stroke,25–34,2015,Males,1.6,89.6,21.7,111.3
Air pollution,Stroke,25–34,2015,Persons,2.4,131.2,43.9,175.1
Air pollution,Stroke,25–34,2018,Females,2.6,144.6,24.4,169.1
Air pollution,Stroke,25–34,2018,Males,2.3,129.6,23.8,153.4
Air pollution,Stroke,25–34,2018,Persons,4.9,274.2,48.2,322.5
Air pollution,Stroke,35–44,2015,Females,5.6,258.8,50.7,309.5
Air pollution,Stroke,35–44,2015,Males,8.1,369.3,53.6,422.9
Air pollution,Stroke,35–44,2015,Persons,13.6,628.1,104.3,732.4
Air pollution,Stroke,35–44,2018,Females,6.3,293,56.3,349.2
Air pollution,Stroke,35–44,2018,Males,10,468.6,52.9,521.5
Air pollution,Stroke,35–44,2018,Persons,16.3,761.6,109.1,870.7
